Id,建築類別,常規分區,街道長度,街道寬度,街道類型,路面狀況,路面平整程度,實用性,街道配置,土地坡度,鄰居,環境2,住宅類型,住宅風格,整體建物品質,整體屋況評分,屋頂風格,屋頂材料,外牆材料,外牆材料2,石磚類型,石磚面積,外部質感,外部現況,地基類型,地下室高度,地下室狀況,地下室在平地牆面高度,地下室品質,地下室面積,第二地下室品質,第二地下室面積,未完工地下室面積,總地下室面積,加溫方式,加溫品質,中央空調,電路狀況,一樓面積,二樓面積,劣質區域面積,生活空間面積,地下室浴室,地下室化妝室,浴室,化妝室,臥室數量,廚房數量,廚房品質,總房數_不含衛浴,住家機能評分,壁爐數量,車庫類型,車庫裝潢,車庫容量,車庫面積,車庫品質,車庫現況,車庫車道,木質地板面積,露臺面積,封閉式門廊,三面外門廊,屏幕通道,泳池面積,其他價值,登載時間 / 月,登載時間 / 年,銷售類型,銷售條件,銷售價格,屋齡,翻修屋齡,車庫庫齡,鄰近鐵路,鄰近幹道,周遭環境
11,20,RL,70.0,11200,1,3,3,3,0,2,Sawyer,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,0,0,Detchd,0,1,384,0,0,2,0,0,0,0,0,0,0,2,2008,WD,Normal,129500,55,55,55.0,0,0,0
12,60,RL,85.0,11924,1,2,3,3,0,2,NridgHt,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,1,4,1182,1142,0,2324,1,0,3,0,4,1,5,11,0,2,BuiltIn,0,3,736,0,0,2,147,21,0,0,0,0,0,7,2006,New,Partial,345000,15,14,15.0,0,0,0
13,20,RL,74.4375,12968,1,1,3,3,0,2,Sawyer,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,1,4,912,0,0,912,1,0,1,0,2,1,3,4,0,0,Detchd,0,1,352,0,0,2,140,0,0,0,176,0,0,9,2008,WD,Normal,144000,58,58,58.0,0,0,0
14,20,RL,91.0,10652,1,2,3,3,0,2,CollgCr,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,1,4,1494,0,0,1494,0,0,2,0,3,1,4,7,0,1,Attchd,0,3,840,0,0,2,160,33,0,0,0,0,0,8,2007,New,Partial,279500,14,13,14.0,0,0,0
15,20,RL,76.46236559139786,10920,1,2,3,3,1,2,NAmes,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,1,4,1253,0,0,1253,1,0,1,1,2,1,3,5,0,1,Attchd,0,1,352,0,0,2,0,213,176,0,0,0,0,5,2008,WD,Normal,157000,60,60,60.0,0,0,0
16,45,RM,51.0,6120,1,3,3,3,1,2,BrkSide,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,1,3,854,0,0,854,0,0,1,0,2,1,3,5,0,0,Detchd,0,2,576,0,0,2,48,112,0,0,0,0,0,7,2007,WD,Normal,132000,91,19,29.0,0,0,0
17,20,RL,76.46236559139786,11241,1,2,3,3,2,2,NAmes,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,1,4,1004,0,0,1004,1,0,1,0,2,1,3,5,0,1,Attchd,0,2,480,0,0,2,0,0,0,0,0,0,700,3,2010,WD,Normal,149000,50,50,50.0,0,0,0
19,20,RL,66.0,13695,1,3,3,3,0,2,SawyerW,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,1,4,1114,0,0,1114,1,0,1,1,3,1,4,6,0,0,Detchd,0,2,576,0,0,2,0,102,0,0,0,0,0,6,2008,WD,Normal,159000,16,16,16.0,0,0,0
20,20,RL,70.0,7560,1,3,3,3,0,2,NAmes,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,1,4,1339,0,0,1339,0,0,1,0,3,1,3,6,0,0,Attchd,0,1,294,0,0,2,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000,62,55,62.0,0,0,0
21,60,RL,101.0,14215,1,2,3,3,1,2,NridgHt,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,1,4,1158,1218,0,2376,0,0,3,1,4,1,4,9,0,1,BuiltIn,0,3,853,0,0,2,240,154,0,0,0,0,0,11,2006,New,Partial,325300,15,14,15.0,0,0,0
22,45,RM,57.0,7449,1,3,2,3,0,2,IDOTRR,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,1,2,1108,0,0,1108,0,0,1,0,3,1,4,6,0,1,Attchd,0,1,280,0,0,0,0,0,205,0,0,0,0,6,2007,WD,Normal,139400,90,70,90.0,0,0,0
23,20,RL,75.0,9742,1,3,3,3,0,2,CollgCr,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,1,4,1795,0,0,1795,0,0,2,0,3,1,4,7,0,1,Attchd,0,2,534,0,0,2,171,159,0,0,0,0,0,9,2008,WD,Normal,230000,18,18,18.0,0,0,0
24,120,RM,44.0,4224,1,3,3,3,0,2,MeadowV,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,1,4,1060,0,0,1060,1,0,1,0,3,1,3,6,0,1,Attchd,0,2,572,0,0,2,100,110,0,0,0,0,0,6,2007,WD,Normal,129900,44,44,44.0,0,0,0
25,20,RL,74.4375,8246,1,2,3,3,0,2,Sawyer,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,1,4,1060,0,0,1060,1,0,1,0,3,1,4,6,0,1,Attchd,0,1,270,0,0,2,406,90,0,0,0,0,0,5,2010,WD,Normal,154000,52,19,52.0,0,0,0
26,20,RL,110.0,14230,1,3,3,3,1,2,NridgHt,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,1,4,1600,0,0,1600,0,0,2,0,3,1,4,7,0,1,Attchd,0,3,890,0,0,2,0,56,0,0,0,0,0,7,2009,WD,Normal,256300,13,13,13.0,0,0,0
27,20,RL,60.0,7200,1,3,3,3,1,2,NAmes,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,1,4,900,0,0,900,0,1,1,0,3,1,4,5,0,0,Detchd,0,2,576,0,0,2,222,32,0,0,0,0,0,5,2010,WD,Normal,134800,69,20,15.0,0,0,0
28,20,RL,98.0,11478,1,3,3,3,0,2,NridgHt,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,1,4,1704,0,0,1704,1,0,2,0,3,1,4,7,0,1,Attchd,0,3,772,0,0,2,0,50,0,0,0,0,0,5,2010,WD,Normal,306000,13,12,12.0,0,0,0
29,20,RL,47.0,16321,1,2,3,3,2,2,NAmes,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,1,4,1600,0,0,1600,1,0,1,0,2,1,3,6,0,2,Attchd,0,1,319,0,0,2,288,258,0,0,0,0,0,12,2006,WD,Normal,207500,63,23,63.0,0,0,0
30,30,RM,60.0,6324,1,2,3,3,0,2,BrkSide,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,0,4,520,0,0,520,0,0,1,0,1,1,2,4,0,0,Detchd,0,1,240,0,0,2,49,0,87,0,0,0,0,5,2008,WD,Normal,68500,93,70,100.0,1,0,0
31,70,C (all),50.0,8500,1,3,3,3,0,2,IDOTRR,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,0,4,649,668,0,1317,0,0,1,0,3,1,3,6,0,0,Detchd,0,1,250,0,0,0,0,54,172,0,0,0,0,7,2008,WD,Normal,40000,100,70,100.0,0,0,0
32,20,RL,74.4375,8544,1,2,3,3,2,2,Sawyer,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,1,4,1228,0,0,1228,0,0,1,1,3,1,4,6,0,0,Attchd,0,1,271,0,0,2,0,65,0,0,0,0,0,6,2008,WD,Normal,149350,54,14,54.0,0,0,0
33,20,RL,85.0,11049,1,3,3,3,1,2,CollgCr,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,1,4,1234,0,0,1234,0,0,2,0,3,1,4,7,0,0,Attchd,0,2,484,0,0,2,0,30,0,0,0,0,0,1,2008,WD,Normal,179900,13,13,13.0,0,0,0
34,20,RL,70.0,10552,1,2,3,3,0,2,NAmes,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,1,4,1700,0,0,1700,0,1,1,1,4,1,4,6,0,1,Attchd,0,2,447,0,0,2,0,38,0,0,0,0,0,4,2010,WD,Normal,165500,61,61,61.0,0,0,0
35,120,RL,60.0,7313,1,3,3,3,0,2,NridgHt,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,1,4,1561,0,0,1561,1,0,2,0,2,1,5,6,0,1,Attchd,0,2,556,0,0,2,203,47,0,0,0,0,0,8,2007,WD,Normal,277500,15,15,15.0,0,0,0
36,60,RL,108.0,13418,1,3,3,3,0,2,NridgHt,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,1,4,1132,1320,0,2452,0,0,3,1,4,1,4,9,0,1,BuiltIn,0,3,691,0,0,2,113,32,0,0,0,0,0,9,2006,WD,Normal,309000,16,15,16.0,0,0,0
37,20,RL,112.0,10859,1,3,3,3,1,2,CollgCr,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,1,4,1097,0,0,1097,0,0,1,1,3,1,3,6,0,0,Attchd,0,2,672,0,0,2,392,64,0,0,0,0,0,6,2009,WD,Normal,145000,26,25,25.0,0,0,0
38,20,RL,74.0,8532,1,3,3,3,0,2,NAmes,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,1,4,1297,0,0,1297,0,1,1,0,3,1,3,5,0,1,Attchd,0,2,498,0,0,2,0,0,0,0,0,0,0,10,2009,WD,Normal,153000,66,30,66.0,0,0,0
39,20,RL,68.0,7922,1,3,3,3,0,2,NAmes,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,1,4,1057,0,0,1057,1,0,1,0,3,1,4,5,0,0,Detchd,0,1,246,0,0,2,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000,67,13,67.0,0,0,0
41,20,RL,84.0,8658,1,3,3,3,0,2,NAmes,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,1,4,1324,0,0,1324,0,0,2,0,3,1,3,6,0,1,Attchd,0,2,440,0,0,2,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000,55,55,55.0,0,0,0
42,20,RL,115.0,16905,1,3,3,3,0,2,Timber,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,1,4,1328,0,0,1328,0,1,1,1,2,1,3,5,0,2,Attchd,0,1,308,0,0,1,0,104,0,0,0,0,0,7,2007,WD,Normal,170000,61,61,61.0,0,0,0
43,85,RL,71.5,9180,1,2,3,3,2,2,SawyerW,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,1,4,884,0,0,884,1,0,1,0,2,1,4,5,0,0,Attchd,0,2,504,0,0,2,240,0,0,0,0,0,0,12,2007,WD,Normal,144000,37,37,37.0,0,0,0
44,20,RL,71.68253968253968,9200,1,2,3,3,2,2,CollgCr,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,1,4,938,0,0,938,1,0,1,0,3,1,3,5,0,0,Detchd,0,1,308,0,0,2,145,0,0,0,0,0,0,7,2008,WD,Normal,130250,45,40,43.0,0,0,0
45,20,RL,70.0,7945,1,3,3,3,0,2,NAmes,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,1,3,1150,0,0,1150,1,0,1,0,3,1,3,6,0,0,Attchd,0,1,300,0,0,2,0,0,0,0,0,0,0,5,2006,WD,Normal,141000,61,61,61.0,0,0,0
46,120,RL,61.0,7658,1,3,3,3,0,2,NridgHt,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,5,3,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,1,4,1752,0,0,1752,1,0,2,0,2,1,5,6,0,1,Attchd,0,2,576,0,0,2,196,82,0,0,0,0,0,2,2010,WD,Normal,319900,15,15,15.0,0,0,0
47,50,RL,48.0,12822,1,2,3,3,2,2,Mitchel,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,1,4,1518,631,0,2149,1,0,1,1,1,1,4,6,0,1,Attchd,0,2,670,0,0,2,168,43,0,0,198,0,0,8,2009,WD,Abnorml,239686,17,17,17.0,0,0,0
48,20,FV,84.0,11096,1,3,3,3,0,2,Somerst,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,1,4,1656,0,0,1656,0,0,2,0,3,1,4,7,0,0,Attchd,0,3,826,0,0,2,0,146,0,0,0,0,0,7,2007,WD,Normal,249700,14,14,14.0,0,0,0
50,20,RL,66.0,7742,1,3,3,3,0,2,Sawyer,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,GasA,Ex,1,4,955,0,0,955,1,0,1,0,3,1,3,6,0,0,Attchd,0,1,386,0,0,2,0,0,0,0,0,0,0,1,2007,WD,Normal,127000,54,54,54.0,0,0,0
51,60,RL,79.87755102040816,13869,1,1,3,3,1,2,Gilbert,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,GasA,Gd,1,4,794,676,0,1470,0,1,2,0,3,1,3,6,0,0,Attchd,0,2,388,0,0,2,0,75,0,0,0,0,0,7,2007,WD,Normal,177000,23,23,23.0,0,0,0
52,50,RM,52.0,6240,1,3,3,3,0,2,BrkSide,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,1,4,816,0,360,1176,0,0,1,0,3,1,3,6,0,1,Detchd,0,2,528,0,0,2,112,0,0,0,0,0,400,9,2006,WD,Normal,114500,86,70,35.0,0,0,0
53,90,RM,110.0,8472,0,1,2,3,1,1,IDOTRR,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,GasA,TA,0,4,816,0,0,816,1,0,1,0,2,1,3,5,0,0,CarPort,0,2,516,0,0,2,106,0,0,0,0,0,0,5,2010,WD,Normal,110000,57,57,57.0,1,0,0
54,20,RL,68.0,50271,1,2,0,3,0,2,Veenker,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,None,0.0,4,3,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,GasA,Gd,1,4,1842,0,0,1842,2,0,0,1,0,1,4,5,0,1,Attchd,0,3,894,0,0,2,857,72,0,0,0,0,0,11,2006,WD,Normal,385000,39,33,39.0,0,0,0
55,80,RL,60.0,7134,1,3,2,3,0,1,NAmes,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,GasA,TA,1,4,1360,0,0,1360,0,0,1,0,3,1,3,6,0,1,Detchd,0,2,572,0,0,2,0,50,0,0,0,0,0,2,2007,WD,Normal,130000,65,65,58.0,0,0,0
56,20,RL,100.0,10175,1,2,3,3,0,2,NAmes,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,3,3,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,GasA,Gd,1,4,1425,0,0,1425,0,0,2,0,3,1,3,7,0,1,Attchd,0,2,576,0,0,2,0,0,0,407,0,0,0,7,2008,WD,Normal,180500,56,56,56.0,0,0,0
57,160,FV,24.0,2645,1,3,3,3,0,2,Somerst,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,GasA,Ex,1,4,983,756,0,1739,1,0,2,1,3,1,4,7,0,0,Attchd,0,2,480,0,0,2,115,0,0,0,0,0,0,8,2009,WD,Abnorml,172500,21,20,21.0,0,0,0
58,60,RL,89.0,11645,1,2,3,3,1,2,CollgCr,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,GasA,Ex,1,4,860,860,0,1720,0,0,2,1,3,1,4,7,0,0,Attchd,0,2,565,0,0,2,0,70,0,0,0,0,0,8,2006,WD,Normal,196500,16,16,16.0,0,0,0
59,60,RL,66.0,13682,1,1,1,3,2,2,StoneBr,Norm,1Fam,2Story,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,5,3,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,GasA,Ex,1,4,1426,1519,0,2945,0,0,3,1,3,1,4,10,0,1,BuiltIn,0,3,641,0,0,2,192,0,37,0,0,0,0,10,2006,New,Partial,438780,14,14,14.0,0,0,0
60,20,RL,60.0,7200,1,3,2,3,0,2,CollgCr,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,GasA,Ex,1,4,780,0,0,780,0,0,1,0,2,1,3,4,0,0,Detchd,0,1,352,0,0,2,196,0,0,0,0,0,0,1,2008,WD,Normal,124900,48,48,47.0,0,0,0
61,20,RL,63.0,13072,1,3,3,3,0,2,SawyerW,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,Gd,TA,No,ALQ,941,Unf,0,217,1158,GasA,Ex,1,4,1158,0,0,1158,1,0,1,1,3,1,4,5,0,0,Detchd,0,2,576,0,0,2,0,50,0,0,0,0,0,5,2006,New,Partial,158000,16,16,14.0,0,0,0
62,75,RM,60.0,7200,1,3,3,3,0,2,IDOTRR,Norm,1Fam,2.5Unf,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,TA,Fa,No,Unf,0,Unf,0,530,530,GasA,TA,0,4,581,530,0,1111,0,0,1,0,3,1,2,6,0,0,Detchd,0,1,288,0,0,0,0,0,144,0,0,0,0,3,2007,WD,Normal,101000,100,24,85.0,0,0,0
63,120,RL,44.0,6442,1,2,3,3,0,2,NridgHt,Norm,TwnhsE,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,4,3,PConc,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,1,4,1370,0,0,1370,0,0,2,0,2,1,4,6,0,1,Attchd,0,2,484,0,0,2,120,49,0,0,0,0,0,10,2007,WD,Normal,202500,14,14,14.0,0,0,0
